""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000363071.3"	0.106668392182605	0.0145581965268545	1.93841944226944	0.0600481277530791	0.516272618226486	-4.20052584662591	"ENSP00000363071.3"	232	1.94947310447719	0.0586083427151381	0.498442889863649	"DES"
"ENSP00000359146.4"	-0.0853210457219837	0.0633610983453681	-1.8745087616184	0.0685847528995377	0.533196950363335	-4.30544709151441	"ENSP00000359146.4"	12	-1.94849374046246	0.0587294289542247	0.498442889863649	"RTCA"
"ENSP00000259873.4"	0.230433799208794	-0.152382509658677	1.9573664675037	0.0577002281825617	0.513092353558158	-4.16887571195481	"ENSP00000259873.4"	1	1.94586366743619	0.059055674035225	0.499779732835247	"MRPS18B"
"ENSP00000393762.2"	-0.136821335959386	0.0281322547499598	-1.91047864416606	0.0636606255616834	0.52392203128861	-4.24674658274245	"ENSP00000393762.2"	10	-1.9431151526263	0.0593982809214253	0.50056668668864	"SESN1"
"ENSP00000326693.6"	0.231110511026061	0.0279611747518377	1.9328503658048	0.0607537241619283	0.516926025921072	-4.20978163007827	"ENSP00000326693.6"	3	1.94015298476448	0.0597694381445428	0.50056668668864	"SLC25A42"
"ENSP00000364119.2"	-0.0928027197499255	0.0333324340508497	-1.89517873076626	0.0657167541427242	0.528948439594427	-4.27182592470094	"ENSP00000364119.2"	6	-1.94007884784224	0.0597787530338688	0.50056668668864	"EIF2S2"
"ENSP00000206451.6"	0.151014421094049	-0.00620354703441286	1.91157050936812	0.0635160271534241	0.52392203128861	-4.24495056697418	"ENSP00000206451.6"	10	1.93971371733673	0.0598246479026937	0.50056668668864	"PSME1"
"ENSP00000330737.2"	0.14971724459921	-0.0458644108245638	1.90621675892931	0.0642277464268767	0.52392203128861	-4.25374902544753	"ENSP00000330737.2"	17	1.93654335945878	0.0602244227506933	0.502492225880432	"NDUFA12"
"ENSP00000258418.5"	-0.130033426991743	0.0348379702472526	-1.89887450129919	0.0652149397527692	0.528948439594427	-4.26578288117353	"ENSP00000258418.5"	33	-1.93427058904609	0.0605124287829713	0.503034011486057	"CAB39"
"ENSP00000416968.2"	-0.116915667247453	0.030213470341417	-1.92755872294703	0.06143077688191	0.516926025921072	-4.21855642774966	"ENSP00000416968.2"	3	-1.9333532107834	0.0606290148887651	0.503034011486057	"DCTN4"
"ENSP00000426638.1"	0.209288230192407	-0.0566041135543365	1.91107304700579	0.0635818722960594	0.52392203128861	-4.2457689489472	"ENSP00000426638.1"	25	1.93003211209237	0.0610527002003397	0.504744377485016	"ETFDH"
"ENSP00000384925.1"	-0.278317327213158	-0.0324397503784707	-1.92558649035666	0.061684775868255	0.517260463462237	-4.22182189110856	"ENSP00000384925.1"	2	-1.92906955507201	0.0611759728281974	0.504744377485016	"RANBP1"
"ENSP00000496665.1"	-0.0879222150573768	0.0215830401148491	-1.87844316478093	0.0680307443869514	0.531163223472875	-4.29907067113336	"ENSP00000496665.1"	6	-1.92654765764796	0.0614999634830506	0.505558888351599	"RPS14"
"ENSP00000445552.1"	0.179512968404017	0.0642497021219167	1.90659442926702	0.0641773160119591	0.52392203128861	-4.25312901037798	"ENSP00000445552.1"	6	1.92422687371473	0.0617994205788223	0.505558888351599	"ACOT13"
"ENSP00000358727.5"	0.15430169501061	0.0269280688131374	1.89616556298231	0.0655824385023375	0.528948439594427	-4.27021326779788	"ENSP00000358727.5"	28	1.9238534570909	0.0618477205274942	0.505558888351599	"GSTO1"
"ENSP00000417443.1"	0.188682195581202	-0.0777667842941927	1.92454102270666	0.061819785302374	0.517260463462237	-4.22355179744391	"ENSP00000417443.1"	2	1.92300628355798	0.0619574194705031	0.505558888351599	"TMED4"
"ENSP00000498485.1"	-0.199673934838471	0.0147501174011259	-1.89729336747467	0.0654292236515574	0.528948439594427	-4.26836940207408	"ENSP00000498485.1"	14	-1.91735811524095	0.0626930765488938	0.507968716854519	"COL18A1"
"ENSP00000342895.3"	0.244163887047233	-0.0909332605213547	1.90504262178925	0.0643847465864463	0.52392203128861	-4.25567595049945	"ENSP00000342895.3"	4	1.91522269906667	0.0629731576614119	0.507968716854519	"NDUFV3"
"ENSP00000222399.6"	-0.178622206860747	0.0178958320272251	-1.89254428494597	0.0660764783930461	0.528968997297844	-4.27612772771237	"ENSP00000222399.6"	33	-1.91459282728565	0.0630559767014549	0.507968716854519	"LAMB1"
"ENSP00000281243.5"	-0.129204125414372	0.0323526697212055	-1.87771026582092	0.068133653897815	0.531163223472875	-4.30025929504295	"ENSP00000281243.5"	26	-1.91349289167472	0.0632008267613977	0.507968716854519	"QDPR"
"ENSP00000378246.2"	0.0999184605297417	-0.0164625363982809	1.88076788861872	0.0677051988754801	0.531163223472875	-4.29529790375471	"ENSP00000378246.2"	5	1.91286732962084	0.0632833342161385	0.507968716854519	"UBXN6"
"ENSP00000299138.7"	-0.0758549613304835	0.023869195521679	-1.83009156686597	0.0751111256392522	0.55041547858829	-4.37667249829483	"ENSP00000299138.7"	10	-1.91161470552761	0.0634488251273614	0.507968716854519	"VPS35"
"ENSP00000360821.3"	0.0797731465581787	0.0270306056364816	1.83066666850523	0.0750233650202476	0.55041547858829	-4.37575926792113	"ENSP00000360821.3"	17	1.91158151004411	0.0634532158123471	0.507968716854519	"UBAC1"
"ENSP00000328615.1"	0.144441206236072	0.0202043169789158	1.91773397604537	0.0627050653838781	0.521720235019794	-4.23479666488882	"ENSP00000328615.1"	2	1.90983366652836	0.063684767660814	0.508448198952375	"FRMD3"
"ENSP00000187762.1"	-0.164941110180044	0.09950159684276	-1.88096479174178	0.0676776866212306	0.531163223472875	-4.29497817713103	"ENSP00000187762.1"	9	-1.90403198748077	0.0644585740002162	0.51281818224364	"TMEM38A"
"ENSP00000310189.3"	-0.170473257859316	-0.0631793350648841	-1.92760288606352	0.0614250995453059	0.516926025921072	-4.21848327514633	"ENSP00000310189.3"	1	-1.9018901087555	0.0647462817517599	0.51281818224364	"MOB1B"
"ENSP00000301948.6"	-0.11828087356678	0.0250890418374156	-1.87242824300976	0.0688792688943896	0.533509155323482	-4.30881453942681	"ENSP00000301948.6"	6	-1.9018511928743	0.0647515192974752	0.51281818224364	"MECP2"
