""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000391452.2"	0.0478605049570127	0.120422819547131	0.831002990226332	0.411177749249304	0.793332998875258	-5.68863864988692	"ENSP00000391452.2"	2	0.821914567122864	0.416226255828654	0.792743710944372	"POLR2B"
"ENSP00000357535.3"	0.0647625569893583	0.0292473919811376	0.809728434449618	0.423152126818368	0.799857434356099	-5.70520271610756	"ENSP00000357535.3"	42	0.821860135056591	0.416256857544388	0.792743710944372	"ECHS1"
"ENSP00000367948.2"	0.0332090575566774	0.0331217598130199	0.812389085334786	0.421643060409583	0.799167846410533	-5.70315381236152	"ENSP00000367948.2"	210	0.821278092883302	0.41658416803605	0.792743710944372	"DMD"
"ENSP00000392106.1"	-0.137471941768963	-0.0895419420042482	-0.821697820774332	0.416389225797463	0.79626346851552	-5.6959344184868	"ENSP00000392106.1"	1	-0.820615909650371	0.416956737620843	0.792743710944372	"TMEM182"
"ENSP00000436049.1"	-0.0458541804644546	0.0607288361271418	-0.8183440583816	0.418277438420504	0.79626346851552	-5.69854456099185	"ENSP00000436049.1"	3	-0.820574611504734	0.416979980300922	0.792743710944372	"EIF3M"
"ENSP00000446687.1"	0.125141884995939	-0.041277693334144	0.812274322519761	0.421708083706841	0.799167846410533	-5.70324232215157	"ENSP00000446687.1"	19	0.818227485184259	0.418302252769424	0.794747448815288	"MYL6"
"ENSP00000446136.1"	0.0382722351636867	0.0180924070249598	0.832278031961301	0.410466795574773	0.793103525739394	-5.68763278823293	"ENSP00000446136.1"	2	0.816329324421751	0.419373471832462	0.79493803961041	"SRP68"
"ENSP00000355637.3"	0.068600845144998	-0.144781945419579	0.830609104084678	0.411397530814448	0.793332998875258	-5.68894908090144	"ENSP00000355637.3"	1	0.816133532841986	0.419484061330443	0.79493803961041	"ABCB10"
"ENSP00000480476.1"	0.0552796796343669	0.0433735545483703	0.801103328684492	0.428066668758596	0.802942167448521	-5.71180014304353	"ENSP00000480476.1"	9	0.815975952835052	0.419573080626376	0.79493803961041	"OPLAH"
"ENSP00000400374.2"	-0.0818117327266092	-0.0870886378015418	-0.824387946185274	0.414878436578146	0.79626346851552	-5.69383333754457	"ENSP00000400374.2"	1	-0.815340810139783	0.419931999249658	0.79493803961041	"DECR2"
"ENSP00000411461.2"	-0.165582848447763	-0.264160536305564	-0.814446766605552	0.420478239823256	0.798881684641747	-5.70156479924538	"ENSP00000411461.2"	1	-0.814776756636443	0.420250902642156	0.79493803961041	"PANX1"
"ENSP00000364613.2"	-0.0609630145551605	0.0643936648430109	-0.818614587663575	0.418124932704282	0.79626346851552	-5.69833439660126	"ENSP00000364613.2"	2	-0.814524650603404	0.420393485639821	0.79493803961041	"CARD19"
"ENSP00000253039.4"	0.0611165332801013	0.0953404675244637	0.807757460503844	0.424272140127713	0.800511565351632	-5.7067163383222	"ENSP00000253039.4"	4	0.814299522050945	0.420520836013118	0.79493803961041	"EIF2S3"
