""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000317159.4"	0.422600140267731	-0.0340413748222357	5.71655324238743	1.4066596882591e-06	7.84162915862901e-05	5.24512069252024	"ENSP00000317159.4"	47	5.80799658164245	1.02588240602706e-06	6.16252567321479e-05	"CYC1"
"ENSP00000252102.5"	0.544837459371744	-0.0254200279711443	5.73342680699538	1.3337448055602e-06	7.84162915862901e-05	5.29563664856174	"ENSP00000252102.5"	11	5.80213484291106	1.04510579563508e-06	6.16252567321479e-05	"NDUFA2"
"ENSP00000168216.6"	0.519233495551104	0.0238139228435417	5.72266228762773	1.37981223558731e-06	7.84162915862901e-05	5.26340945512542	"ENSP00000168216.6"	15	5.79870359382199	1.05652506419144e-06	6.16252567321479e-05	"HSD17B10"
"ENSP00000436766.1"	0.45859441611587	0.00628568716555447	5.70815675371135	1.44441314314805e-06	7.84162915862901e-05	5.21998485897787	"ENSP00000436766.1"	23	5.79734836102527	1.06106957911531e-06	6.16252567321479e-05	"NDUFV1"
"ENSP00000215570.2"	0.401063112316668	0.0299814470851217	5.72110038510023	1.38662724586684e-06	7.84162915862901e-05	5.25873350801268	"ENSP00000215570.2"	5	5.78850234550099	1.09121666791798e-06	6.21573801994816e-05	"TIMM13"
"ENSP00000268668.6"	0.469618416068123	-0.0268691044892549	5.68571217111312	1.55037348786131e-06	7.84162915862901e-05	5.1527999760409	"ENSP00000268668.6"	26	5.77008124379738	1.15677022595191e-06	6.4648177533388e-05	"NDUFB10"
"ENSP00000355046.4"	0.60333685886525	0.194349706763926	5.72659606461835	1.36279595339519e-06	7.84162915862901e-05	5.27518635331896	"ENSP00000355046.4"	3	5.74770657952425	1.2417063411344e-06	6.65276716585215e-05	"MT-ND2"
"ENSP00000155674.5"	0.36773775553588	-0.00903142421322323	5.64855763574934	1.74310530608965e-06	8.19536177244056e-05	5.04160298153638	"ENSP00000155674.5"	7	5.74626599170578	1.24738365927848e-06	6.65276716585215e-05	"HDHD5"
"ENSP00000355518.4"	0.462185911591162	-0.00685172308168214	5.67549530208818	1.60114428728072e-06	7.9043156315425e-05	5.12222001909997	"ENSP00000355518.4"	95	5.73813346276551	1.27992348949095e-06	6.65276716585215e-05	"FH"
"ENSP00000262030.3"	0.569629542205108	-0.0279567578487027	5.68734128764981	1.54242783129775e-06	7.84162915862901e-05	5.15767623405274	"ENSP00000262030.3"	89	5.73777073841557	1.28139440764808e-06	6.65276716585215e-05	"ATP5F1B"
