""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000419970.1"	0.0982012197160063	-0.1284658039041	0.897344009585727	0.375201562781549	0.622691634825936	-5.83791211834381	"ENSP00000419970.1"	1	0.890815268236271	0.37860483656602	0.62319994598292	"POR"
"ENSP00000422854.1"	0.0724683257207005	0.0326057212204199	0.887698786134408	0.380302903607268	0.625462076893241	-5.8462310858127	"ENSP00000422854.1"	3	0.890786616999693	0.378620015112981	0.62319994598292	"DBN1"
"ENSP00000311809.4"	0.264492823888813	-0.225265385544563	0.887052159834897	0.380646481545064	0.625679732706148	-5.8467857196317	"ENSP00000311809.4"	3	0.890603469537955	0.378717050225947	0.62319994598292	"COL14A1"
"ENSP00000263125.5"	-0.0428255233501382	0.00595778677701471	-0.868520292392359	0.390577333320307	0.636252717260116	-5.86251648950828	"ENSP00000263125.5"	6	-0.888647893694703	0.379754144584459	0.624559564830187	"PRKCQ"
"ENSP00000417876.1"	-0.0694498886827608	0.192549183003594	-0.903548304273779	0.371943469082205	0.620067179332046	-5.83251548170224	"ENSP00000417876.1"	1	-0.886819610056248	0.380725372836622	0.62566920484877	"PDCD10"
"ENSP00000346634.5"	0.0551075278126358	0.0395011653750522	0.915493094380844	0.365722382976703	0.614098468467684	-5.82202555555596	"ENSP00000346634.5"	1	0.88621440406494	0.38104722193966	0.62566920484877	"THRAP3"
"ENSP00000339622.4"	-0.0644827896167239	0.0967968110521161	-0.879001061605615	0.384940936449863	0.630290245309284	-5.85365900056316	"ENSP00000339622.4"	4	-0.886011141348819	0.381155356187681	0.62566920484877	"PAIP1"
"ENSP00000473211.1"	-0.0813019910139956	-0.0977258945811106	-0.896843915356928	0.375464976299501	0.622691634825936	-5.8383455624815	"ENSP00000473211.1"	1	-0.885788593003864	0.381273772704939	0.62566920484877	"PNPLA6"
"ENSP00000315757.2"	0.081439215204867	-0.0205828201968691	0.881884952479731	0.38339914027703	0.628112972068895	-5.85120390412037	"ENSP00000315757.2"	3	0.88506186804789	0.381660621778327	0.625957232396127	"LCP1"
"ENSP00000480640.1"	-0.122493538936781	-0.0265143337088259	-0.881980161869409	0.383348306238847	0.628112972068895	-5.8511227196349	"ENSP00000480640.1"	2	-0.883437747808111	0.382526075530376	0.627029460830644	"SELENOW"
