	source	target	category	correlation	pvalue	padj
3290678	ENSG00000152795	ENSG00000107758	115	0.7533474277660325	3.618488112032485e-09	8.814343455655197e-07
3290907	ENSG00000152795	ENSG00000115307	115	0.8102889358703312	2.6712694607730525e-11	1.9395920367801493e-08
3291162	ENSG00000152795	ENSG00000124222	115	0.8187455954897815	1.1197502763349644e-11	9.744495003391404e-09
3291337	ENSG00000152795	ENSG00000132155	115	0.825369978858351	5.4883344079300755e-12	5.5496427528930596e-09
3291347	ENSG00000152795	ENSG00000132429	115	0.7988724453840732	8.085930473468133e-11	4.624358567975189e-08
3291654	ENSG00000152795	ENSG00000140391	115	0.7392529950669485	9.984097779989138e-09	1.9175086364848504e-06
3291738	ENSG00000152795	ENSG00000143420	115	0.8243833685694151	6.11473477641569e-12	6.053392844463397e-09
3291845	ENSG00000152795	ENSG00000147224	115	0.7930937279774489	1.3793309785904028e-10	7.021216157051602e-08
3291853	ENSG00000152795	ENSG00000147454	115	0.6124031007751938	9.964359459959e-06	0.0003654519954886
3962851	ENSG00000163938	ENSP00000377770.1	115	-0.6851303735024665	2.893753984187812e-07	2.498673749000044e-05
3962855	ENSG00000163938	ENSP00000418842.3	115	-0.6280479210711768	5.022422274733811e-06	0.0002176081482819
3962858	ENSG00000163938	ENSP00000496880.1	115	-0.6579281183932347	1.215553632002801e-06	7.421026165104096e-05
3962866	ENSG00000163938	ENSP00000266544.5	115	-0.6507399577167019	1.7343383962153065e-06	9.718010511245815e-05
3962875	ENSG00000163938	ENSP00000268668.6	115	-0.6403100775193798	2.8578606591747123e-06	0.0001419743501186
3962884	ENSG00000163938	ENSP00000359346.1	115	-0.6617336152219873	1.0031845651908249e-06	6.415313849996208e-05
3962889	ENSG00000163938	ENSP00000297564.2	115	-0.6363636363636364	3.4357072618696245e-06	0.0001632183748518
3962892	ENSG00000163938	ENSP00000292907.3	115	-0.627061310782241	5.24999299481054e-06	0.0002250335155388
3962893	ENSG00000163938	ENSP00000330737.2	115	-0.639323467230444	2.993233618340288e-06	0.0001470178773084
3962897	ENSG00000163938	ENSP00000296684.5	115	-0.6889358703312192	2.3385081897789098e-07	2.1262147438924236e-05
3962900	ENSG00000163938	ENSP00000419656.1	115	-0.6542635658914728	1.4587357458523829e-06	8.522555587869805e-05
3962903	ENSG00000163938	ENSP00000263774.4	115	-0.62522903453136	5.698026928658311e-06	0.0002393712341953
3962906	ENSG00000163938	ENSP00000419578.1	115	-0.6701902748414376	6.48274668447173e-07	4.6030873417451256e-05
3962911	ENSG00000163938	ENSP00000397760.1	115	-0.649753347427766	1.8197217224350248e-06	0.0001007867016211
3962912	ENSG00000163938	ENSP00000252711.2	115	-0.6763918252290345	4.664375491717523e-07	3.587488937316982e-05
3962917	ENSG00000163938	ENSP00000281031.4	115	-0.6272022551092319	5.216911135372543e-06	0.0002239597530078
3962922	ENSG00000163938	ENSP00000423673.1	115	-0.6694855532064834	6.726554334359172e-07	4.733947459130786e-05
3962948	ENSG00000163938	ENSP00000492163.1	115	-0.6248062015503876	5.806302984456753e-06	0.0002427958010401
3962988	ENSG00000163938	ENSP00000238688.5	115	-0.7251585623678647	2.587799117613952e-08	3.974067297278624e-06
3962992	ENSG00000163938	ENSP00000253452.2	115	-0.6407329105003523	2.801593970195252e-06	0.0001398444263864
3963016	ENSG00000163938	ENSP00000358737.3	115	-0.6342494714587738	3.787912261213489e-06	0.0001757814353514
