source	target	category	correlation	pvalue	padj	abs	dir
CS activity	ENSP00000262570.5	115	0.8417195207892881	8.246245563204927e-13	1.2272879564946338e-09	0.8417195207892881	1.0
CS activity	ENSP00000265838.4	115	0.8348132487667372	1.883014441078617e-12	2.3808632686930822e-09	0.8348132487667372	1.0
CS activity	ENSP00000268668.6	115	0.8342494714587738	2.010943591383345e-12	2.5057678686567517e-09	0.8342494714587738	1.0
CS activity	ENSP00000367042.3	115	0.8329809725158562	2.3293871504960644e-12	2.8187433096418918e-09	0.8329809725158562	1.0
CS activity	ENSP00000358737.3	115	0.8314305849189569	2.7832491011253426e-12	3.24750391646371e-09	0.8314305849189569	1.0
CS activity	ENSP00000274137.6	115	0.8298801973220578	3.319599422793207e-12	3.735247209405486e-09	0.8298801973220578	1.0
CS activity	ENSP00000216254.4	115	0.8270613107822411	4.5529503064500936e-12	4.791440888525245e-09	0.8270613107822411	1.0
CS activity	ENSP00000311245.3	115	0.8263565891472868	4.922777884871208e-12	5.095110397728379e-09	0.8263565891472868	1.0
CS activity	ENSP00000215375.1	115	0.8241014799154334	6.3057217849123106e-12	6.198110273725948e-09	0.8241014799154334	1.0
CS activity	ENSP00000377446.2	115	0.8212825933756167	8.551079354476677e-12	7.880277076550357e-09	0.8212825933756167	1.0
CS activity	ENSP00000377770.1	115	0.820014094432699	9.790375602786138e-12	8.765626496342172e-09	0.820014094432699	1.0
CS activity	ENSP00000397760.1	115	0.8171952078928824	1.3176271813193884e-11	1.1093030825692836e-08	0.8171952078928824	1.0
CS activity	ENSP00000355518.4	115	0.8166717003926306	2.4395707301241528e-11	1.8097223349037976e-08	0.8166717003926306	1.0
CS activity	ENSP00000330787.4	115	0.8166314305849189	1.3974190587578844e-11	1.1630941646558636e-08	0.8166314305849189	1.0
CS activity	ENSP00000436766.1	115	0.8162085976039465	1.4602263440557442e-11	1.2043591264434593e-08	0.8162085976039465	1.0
Vo2 Peak	ENSP00000215375.1	115	0.8590556730091614	8.618056922402503e-14	2.013392095146905e-10	0.8590556730091614	1.0
Vo2 Peak	ENSP00000282050.2	115	0.8555320648343905	1.396325420895013e-13	2.9695375955384865e-10	0.8555320648343905	1.0
Vo2 Peak	ENSP00000306397.3	115	0.8329809725158562	2.3293871504960644e-12	2.8187433096418918e-09	0.8329809725158562	1.0
Vo2 Peak	ENSP00000233627.9	115	0.8286116983791403	3.829447208062588e-12	4.18550289311567e-09	0.8286116983791403	1.0
Vo2 Peak	ENSP00000301587.4	115	0.8272022551092318	4.4821994558079284e-12	4.730856594204842e-09	0.8272022551092318	1.0
Vo2 Peak	ENSP00000262030.3	115	0.8255109231853418	5.403951068070112e-12	5.4816641877555535e-09	0.8255109231853418	1.0
Vo2 Peak	ENSP00000311245.3	115	0.8252290345313601	5.573958589702615e-12	5.620158931987849e-09	0.8252290345313601	1.0
Vo2 Peak	ENSP00000351181.5	115	0.8250880902043692	5.6608407183683456e-12	5.689229124079682e-09	0.8250880902043692	1.0
Vo2 Peak	ENSP00000216254.4	115	0.8246652572233967	5.929209149039167e-12	5.90252806540874e-09	0.8246652572233967	1.0
Vo2 Peak	ENSP00000269980.2	115	0.822692036645525	7.347984401531554e-12	6.990073681615288e-09	0.822692036645525	1.0
Vo2 Peak	ENSP00000330787.4	115	0.822692036645525	7.347984401531554e-12	6.990073681615288e-09	0.822692036645525	1.0
Vo2 Peak	ENSP00000254035.4	115	0.8222692036645525	7.691031632976842e-12	7.250952126453592e-09	0.8222692036645525	1.0
Vo2 Peak	ENSP00000256441.4	115	0.8221282593375616	7.808695424833067e-12	7.3373007726207954e-09	0.8221282593375616	1.0
Vo2 Peak	ENSP00000281456.5	115	0.8219873150105708	7.928053994560189e-12	7.427611314634039e-09	0.8219873150105708	1.0
Vo2 Peak	ENSP00000203407.5	115	0.8205778717406624	9.220030599886316e-12	8.362005853609115e-09	0.8205778717406624	1.0
Vo2 Peak	ENSP00000292907.3	115	0.819309372797745	1.0550094006033536e-11	9.299729574705878e-09	0.819309372797745	1.0
Vo2 Peak	ENSP00000394382.2	115	0.8181818181818182	1.1882206214563727e-11	1.0212582925305496e-08	0.8181818181818182	1.0
Vo2 Peak	ENSP00000327268.6	115	0.8178999295278364	1.2239166877985992e-11	1.0461290326916014e-08	0.8178999295278364	1.0
Vo2 Peak	ENSP00000358737.3	115	0.8166314305849189	1.3974190587578844e-11	1.1630941646558636e-08	0.8166314305849189	1.0
Vo2 Peak	ENSP00000347988.2	115	0.8163495419309372	1.4390009886227983e-11	1.1906799290729141e-08	0.8163495419309372	1.0
CS activity	ENSG00000114383	115	-0.8212825933756167	8.551079354476677e-12	7.880277076550357e-09	0.8212825933756167	-1.0
CS activity	ENSG00000107758	115	-0.8091613812544045	2.9898270636615193e-11	2.1178620057033993e-08	0.8091613812544045	-1.0
CS activity	ENSG00000147403	115	-0.7961945031712473	1.0378475253930407e-10	5.6229564375682625e-08	0.7961945031712473	-1.0
CS activity	ENSG00000135404	115	-0.7908386187455955	1.6912514868333823e-10	8.235209330072502e-08	0.7908386187455955	-1.0
CS activity	ENSG00000099783	115	-0.7799859055673009	4.3621997939788064e-10	1.72243153782752e-07	0.7799859055673009	-1.0
CS activity	ENSG00000124701	115	-0.7792811839323467	4.6304696757501034e-10	1.8035124598828079e-07	0.7792811839323467	-1.0
CS activity	ENSG00000102007	115	-0.7713883016208598	8.904867429356901e-10	2.9939079889574895e-07	0.7713883016208598	-1.0
CS activity	ENSG00000129562	115	-0.7680056377730796	1.1692986211898227e-09	3.6942195459232477e-07	0.7680056377730796	-1.0
CS activity	ENSG00000171135	115	-0.7677237491190979	1.1958978722762054e-09	3.75803857118341e-07	0.7677237491190979	-1.0
CS activity	ENSG00000140391	115	-0.7643410852713178	1.562662004695681e-09	4.619984745744904e-07	0.7643410852713178	-1.0
Vo2 Peak	ENSG00000186352	115	-0.7671599718111346	1.250807815548211e-09	3.890085589892373e-07	0.7671599718111346	-1.0
Vo2 Peak	ENSG00000243927	115	-0.750246652572234	4.549680194558679e-09	1.050985058908371e-06	0.750246652572234	-1.0
Vo2 Peak	ENSG00000135441	115	-0.7471458773784355	5.701721551851591e-09	1.2493659528601664e-06	0.7471458773784355	-1.0
Vo2 Peak	ENSG00000177971	115	-0.7453136011275546	6.505375841937407e-09	1.3816165725504395e-06	0.7453136011275546	-1.0
Vo2 Peak	ENSG00000102007	115	-0.739675828047921	9.693820139785374e-09	1.8750873967035943e-06	0.739675828047921	-1.0
Vo2 Peak	ENSG00000123144	115	-0.7392529950669485	9.984097779989138e-09	1.9175086364848504e-06	0.7392529950669485	-1.0
Vo2 Peak	ENSG00000154553	115	-0.7391120507399578	1.0082649890064276e-08	1.9320756380588853e-06	0.7391120507399578	-1.0
Vo2 Peak	ENSG00000171135	115	-0.7296687808315715	1.920241449971645e-08	3.163848559240203e-06	0.7296687808315715	-1.0
Vo2 Peak	ENSG00000099783	115	-0.7291050035236082	1.9938499616690728e-08	3.2568814471916804e-06	0.7291050035236082	-1.0
Vo2 Peak	ENSG00000198899	115	0.7216349541930938	3.253969635660981e-08	4.732520385395094e-06	0.7216349541930938	1.0
